VNUM	LOCALE_NAME
1	Yang
2	English Version
10	Sword+0
11	Sword+1
12	Sword+2
13	Sword+3
14	Sword+4
15	Sword+5
16	Sword+6
17	Sword+7
18	Sword+8
19	Sword+9
20	Long Sword+0
21	Long Sword+1
22	Long Sword+2
23	Long Sword+3
24	Long Sword+4
25	Long Sword+5
26	Long Sword+6
27	Long Sword+7
28	Long Sword+8
29	Long Sword+9
30	Crescent Sword+0
31	Crescent Sword+1
32	Crescent Sword+2
33	Crescent Sword+3
34	Crescent Sword+4
35	Crescent Sword+5
36	Crescent Sword+6
37	Crescent Sword+7
38	Crescent Sword+8
39	Crescent Sword+9
40	Bamboo Sword+0
41	Bamboo Sword+1
42	Bamboo Sword+2
43	Bamboo Sword+3
44	Bamboo Sword+4
45	Bamboo Sword+5
46	Bamboo Sword+6
47	Bamboo Sword+7
48	Bamboo Sword+8
49	Bamboo Sword+9
50	Broad Sword+0
51	Broad Sword+1
52	Broad Sword+2
53	Broad Sword+3
54	Broad Sword+4
55	Broad Sword+5
56	Broad Sword+6
57	Broad Sword+7
58	Broad Sword+8
59	Broad Sword+9
60	Silver Sword+0
61	Silver Sword+1
62	Silver Sword+2
63	Silver Sword+3
64	Silver Sword+4
65	Silver Sword+5
66	Silver Sword+6
67	Silver Sword+7
68	Silver Sword+8
69	Silver Sword+9
70	Orchid Sword+0
71	Orchid Sword+1
72	Orchid Sword+2
73	Orchid Sword+3
74	Orchid Sword+4
75	Orchid Sword+5
76	Orchid Sword+6
77	Orchid Sword+7
78	Orchid Sword+8
79	Orchid Sword+9
80	Bastard Sword+0
81	Bastard Sword+1
82	Bastard Sword+2
83	Bastard Sword+3
84	Bastard Sword+4
85	Bastard Sword+5
86	Bastard Sword+6
87	Bastard Sword+7
88	Bastard Sword+8
89	Bastard Sword+9
90	Barbarian Sword+0
91	Barbarian Sword+1
92	Barbarian Sword+2
93	Barbarian Sword+3
94	Barbarian Sword+4
95	Barbarian Sword+5
96	Barbarian Sword+6
97	Barbarian Sword+7
98	Barbarian Sword+8
99	Barbarian Sword+9
100	Bloody Sword+0
101	Bloody Sword+1
102	Bloody Sword+2
103	Bloody Sword+3
104	Bloody Sword+4
105	Bloody Sword+5
106	Bloody Sword+6
107	Bloody Sword+7
108	Bloody Sword+8
109	Bloody Sword+9
110	Great Sword+0
111	Great Sword+1
112	Great Sword+2
113	Great Sword+3
114	Great Sword+4
115	Great Sword+5
116	Great Sword+6
117	Great Sword+7
118	Great Sword+8
119	Great Sword+9
120	Flying Wizard Sword+0
121	Flying Wizard Sword+1
122	Flying Wizard Sword+2
123	Flying Wizard Sword+3
124	Flying Wizard Sword+4
125	Flying Wizard Sword+5
126	Flying Wizard Sword+6
127	Flying Wizard Sword+7
128	Flying Wizard Sword+8
129	Flying Wizard Sword+9
130	Half Moon Sword+0
131	Half Moon Sword+1
132	Half Moon Sword+2
133	Half Moon Sword+3
134	Half Moon Sword+4
135	Half Moon Sword+5
136	Half Moon Sword+6
137	Half Moon Sword+7
138	Half Moon Sword+8
139	Half Moon Sword+9
140	Battle Sword+0
141	Battle Sword+1
142	Battle Sword+2
143	Battle Sword+3
144	Battle Sword+4
145	Battle Sword+5
146	Battle Sword+6
147	Battle Sword+7
148	Battle Sword+8
149	Battle Sword+9
150	Ghost Fang Blade+0
151	Ghost Fang Blade+1
152	Ghost Fang Blade+2
153	Ghost Fang Blade+3
154	Ghost Fang Blade+4
155	Ghost Fang Blade+5
156	Ghost Fang Blade+6
157	Ghost Fang Blade+7
158	Ghost Fang Blade+8
159	Ghost Fang Blade+9
160	Nymph Sword+0
161	Nymph Sword+1
162	Nymph Sword+2
163	Nymph Sword+3
164	Nymph Sword+4
165	Nymph Sword+5
166	Nymph Sword+6
167	Nymph Sword+7
